coin,date,year,month,open,high,low,close,volume,market_cap,circulating_supply
luna,27/03/2021,2021,3,18.4413,19.0208,18.1338,18.6746,3107386.0,,
luna,28/03/2021,2021,3,18.73,19.0815,18.2478,18.5281,2664448.0,,
luna,29/03/2021,2021,3,18.5294,19.2162,18.2817,18.8812,3200787.0,,
luna,30/03/2021,2021,3,18.89,18.89,18.2871,18.6164,3529831.0,,
luna,31/03/2021,2021,3,18.6153,19.163,18.1425,18.6605,7303034.0,,
luna,01/04/2021,2021,1,18.6906,18.8793,18.0862,18.4356,4851607.0,,
luna,02/04/2021,2021,2,18.4402,18.9549,18.4355,18.479,4207690.0,,
luna,03/04/2021,2021,3,18.4692,18.5705,17.9938,17.9938,2432873.0,,
luna,04/04/2021,2021,4,17.9606,18.4403,17.9606,18.1766,1892818.0,,
luna,05/04/2021,2021,5,18.2109,18.2109,17.5422,17.5422,3386394.0,,
luna,06/04/2021,2021,6,17.5576,17.5576,16.5261,16.7368,5346368.0,,
luna,07/04/2021,2021,7,16.7099,16.7099,15.0479,15.4315,6576091.0,,
luna,08/04/2021,2021,8,15.4555,16.0257,15.4127,15.7548,3710644.0,,
luna,09/04/2021,2021,9,15.7674,16.743,15.6543,15.6543,4723539.0,,
luna,10/04/2021,2021,10,15.6586,15.83,15.0669,15.4824,3687519.0,,
luna,11/04/2021,2021,11,15.4795,15.5325,15.0444,15.1048,2524754.0,,
luna,12/04/2021,2021,12,15.1376,15.1376,14.4062,14.6433,3925318.0,,
luna,13/04/2021,2021,4,14.6219,16.5332,14.6219,15.6191,7927683.0,,
luna,14/04/2021,2021,4,15.6637,16.2759,15.2265,15.2814,6372356.0,,
luna,15/04/2021,2021,4,15.3176,17.0987,15.0941,16.8683,5762564.0,,
luna,16/04/2021,2021,4,16.8568,16.8568,15.7277,15.7462,6571444.0,,
luna,17/04/2021,2021,4,15.7799,16.1143,15.2303,15.2963,4776391.0,,
luna,18/04/2021,2021,4,15.2084,15.2084,11.7499,13.39,9671054.0,,
luna,19/04/2021,2021,4,13.4034,16.1639,13.4034,13.8871,11838015.0,,
luna,20/04/2021,2021,4,13.8576,13.8576,13.0957,13.4417,6303549.0,,
luna,21/04/2021,2021,4,13.4413,14.1528,13.2607,13.2607,7245278.0,,
luna,22/04/2021,2021,4,13.2663,15.3416,13.2663,13.6291,11448525.0,,
luna,23/04/2021,2021,4,13.6461,14.1029,12.9861,14.1029,10468859.0,,
luna,24/04/2021,2021,4,14.1084,16.0195,13.754,15.5732,9569667.0,,
luna,25/04/2021,2021,4,15.6894,18.397,15.6894,17.66,12485320.0,,
luna,26/04/2021,2021,4,17.706,17.879,17.251,17.625,9438913.0,,
luna,27/04/2021,2021,4,17.614,18.985,17.479,17.718,11331823.0,,
luna,28/04/2021,2021,4,17.694,17.804,16.817,16.817,8817839.0,,
luna,29/04/2021,2021,4,16.826,16.826,16.115,16.241,6281608.0,,
luna,30/04/2021,2021,4,16.24,16.753,16.016,16.692,5039315.0,,
luna,01/05/2021,2021,1,16.689,16.689,16.453,16.547,3333932.0,,
luna,02/05/2021,2021,2,16.556,17.41,16.517,17.146,6261361.0,,
luna,03/05/2021,2021,3,17.143,18.982,17.143,17.253,13380304.0,,
luna,04/05/2021,2021,4,17.26,17.373,16.283,16.474,9954295.0,,
luna,05/05/2021,2021,5,17.056,17.466,16.992,17.015,8632839.0,,
luna,06/05/2021,2021,6,17.02,17.361,16.541,16.771,8971059.0,,
luna,07/05/2021,2021,7,16.775,16.87,16.462,16.545,5157487.0,,
luna,08/05/2021,2021,8,16.546,17.101,16.546,16.981,4719986.0,,
luna,09/05/2021,2021,9,16.954,17.275,16.779,16.99,5450822.0,,
luna,10/05/2021,2021,10,17.002,17.627,15.8,15.867,10341848.0,,
luna,11/05/2021,2021,11,15.828,16.308,15.464,16.308,5636779.0,,
luna,12/05/2021,2021,12,16.325,17.867,14.535,14.535,12226177.0,,
luna,13/05/2021,2021,5,14.648,16.653,14.648,15.894,13831186.0,,
luna,14/05/2021,2021,5,15.897,16.835,15.45,16.403,6424574.0,,
luna,15/05/2021,2021,5,16.41,16.41,15.209,15.212,5984586.0,,
luna,16/05/2021,2021,5,15.216,17.354,15.216,16.176,10578270.0,,
luna,17/05/2021,2021,5,16.17,16.17,14.836,14.954,8347657.0,,
luna,18/05/2021,2021,5,14.953,15.86,14.721,15.679,8822909.0,,
luna,19/05/2021,2021,5,15.724,15.724,9.458,9.458,24201112.0,,
luna,20/05/2021,2021,5,9.655,11.021,8.69,10.35,23145894.0,,
luna,21/05/2021,2021,5,10.416,11.242,7.842,8.265,20325224.0,,
luna,22/05/2021,2021,5,8.223,8.223,6.579,6.579,20477316.0,,
luna,23/05/2021,2021,5,6.584,6.796,4.089,4.089,42561800.0,,
luna,24/05/2021,2021,5,4.086,7.031,4.086,6.615,73546512.0,,
luna,25/05/2021,2021,5,6.607,6.811,5.797,6.642,52044576.0,,
luna,26/05/2021,2021,5,6.656,7.707,6.614,7.344,42002208.0,,
luna,27/05/2021,2021,5,7.322,7.322,6.524,6.699,24914514.0,,
luna,28/05/2021,2021,5,6.651,6.735,5.551,5.898,29546396.0,,
luna,29/05/2021,2021,5,5.89,6.104,5.193,5.49,15730066.0,,
luna,30/05/2021,2021,5,5.491,6.506,5.218,6.205,19839982.0,,
luna,31/05/2021,2021,5,6.151,6.555,5.745,6.555,23678936.0,,
luna,01/06/2021,2021,1,6.54,6.645,6.156,6.296,13788649.0,,
luna,02/06/2021,2021,2,6.3,7.164,6.194,6.842,15267381.0,,
luna,03/06/2021,2021,3,6.832,7.675,6.809,7.675,22972590.0,,
luna,04/06/2021,2021,4,7.658,7.693,6.202,6.385,33546904.0,,
luna,05/06/2021,2021,5,6.4,6.794,6.037,6.037,19830140.0,,
luna,06/06/2021,2021,6,6.032,6.306,6.032,6.247,7782128.0,,
luna,07/06/2021,2021,7,6.238,6.623,5.599,5.599,15593314.0,,
luna,08/06/2021,2021,8,5.579,5.646,5.136,5.594,18237386.0,,
luna,09/06/2021,2021,9,5.579,6.018,5.28,6.018,14214834.0,,
luna,10/06/2021,2021,10,6.002,6.358,5.759,6.145,18533816.0,,
luna,11/06/2021,2021,11,6.146,6.173,5.512,5.546,12246628.0,,
luna,12/06/2021,2021,12,5.562,5.815,5.278,5.481,11039516.0,,
luna,13/06/2021,2021,6,5.492,6.051,5.456,6.051,7451416.0,,
luna,14/06/2021,2021,6,6.065,6.228,5.878,6.198,8428062.0,,
luna,15/06/2021,2021,6,6.207,6.743,6.095,6.583,13182202.0,,
luna,16/06/2021,2021,6,6.581,6.581,6.018,6.171,8852262.0,,
luna,17/06/2021,2021,6,6.171,6.377,6.083,6.158,5828633.0,,
luna,18/06/2021,2021,6,6.158,6.414,5.765,5.928,10936661.0,,
luna,19/06/2021,2021,6,5.926,5.981,5.681,5.733,4907688.0,,
luna,20/06/2021,2021,6,5.732,5.884,5.523,5.862,5248944.0,,
luna,21/06/2021,2021,6,5.879,5.879,4.843,4.843,10456502.0,,
luna,22/06/2021,2021,6,4.85,5.413,4.593,4.723,16288238.0,,
luna,23/06/2021,2021,6,4.706,5.526,4.706,5.197,13545285.0,,
luna,24/06/2021,2021,6,5.186,5.491,5.009,5.476,7187921.0,,
luna,25/06/2021,2021,6,5.489,5.522,5.037,5.064,7937653.0,,
luna,26/06/2021,2021,6,5.048,5.226,4.99,5.2,5141220.0,,
luna,27/06/2021,2021,6,5.206,5.418,5.143,5.418,3058401.0,,
luna,28/06/2021,2021,6,5.421,5.654,5.264,5.532,5445906.0,,
luna,29/06/2021,2021,6,5.556,6.205,5.495,5.958,8502990.0,,
luna,30/06/2021,2021,6,6.012,6.652,5.852,6.569,10092824.0,,
luna,01/07/2021,2021,1,6.564,6.564,5.842,5.912,7787751.0,,
luna,02/07/2021,2021,2,5.879,5.971,5.578,5.721,5174134.0,,
luna,03/07/2021,2021,3,5.711,5.922,5.642,5.916,2701017.0,,
luna,04/07/2021,2021,4,6.015,6.212,5.874,5.972,4891948.0,,
luna,05/07/2021,2021,5,5.952,6.027,5.679,6.027,5214631.0,,
luna,06/07/2021,2021,6,6.036,6.422,6.036,6.324,8493132.0,,
luna,07/07/2021,2021,7,6.492,7.699,6.492,7.1,17137932.0,,
luna,08/07/2021,2021,8,7.08,7.199,6.419,6.699,12716612.0,,
luna,09/07/2021,2021,9,6.516,8.394,6.466,8.089,20629584.0,,
luna,10/07/2021,2021,10,8.103,8.577,7.465,7.895,13117553.0,,
luna,11/07/2021,2021,11,7.886,8.702,7.886,8.426,12095659.0,,
luna,12/07/2021,2021,12,8.446,8.558,7.561,7.899,9147226.0,,
luna,13/07/2021,2021,7,7.865,8.136,6.982,7.108,8604133.0,,
luna,14/07/2021,2021,7,7.126,7.453,6.595,6.935,14994272.0,,
luna,15/07/2021,2021,7,6.924,7.218,6.514,6.656,7519957.0,,
luna,16/07/2021,2021,7,6.669,7.005,6.216,6.561,8465643.0,,
luna,17/07/2021,2021,7,6.557,6.77,6.268,6.475,6088304.0,,
luna,18/07/2021,2021,7,6.492,6.881,6.47,6.485,4442757.0,,
luna,19/07/2021,2021,7,6.473,6.528,5.928,5.963,5352636.0,,
luna,20/07/2021,2021,7,5.962,6.056,5.6,5.867,5680258.0,,
luna,21/07/2021,2021,7,5.867,6.751,5.694,6.608,8025207.0,,
luna,22/07/2021,2021,7,6.614,7.494,6.578,7.345,8522197.0,,
luna,23/07/2021,2021,7,7.334,7.908,6.891,7.892,10115416.0,,
luna,24/07/2021,2021,7,7.881,8.065,7.745,7.79,8847420.0,,
luna,25/07/2021,2021,7,8.249,8.294,7.789,8.258,8747580.0,,
luna,26/07/2021,2021,7,8.252,9.685,8.195,8.502,16591161.0,,
luna,27/07/2021,2021,7,8.512,9.588,8.067,9.516,12542160.0,,
luna,28/07/2021,2021,7,9.516,11.115,9.136,10.982,14830615.0,,
luna,29/07/2021,2021,7,10.984,11.773,10.654,11.039,12650583.0,,
luna,30/07/2021,2021,7,11.05,11.119,10.039,10.828,11737174.0,,
luna,31/07/2021,2021,7,10.863,11.314,10.547,10.731,6673045.0,,
luna,01/08/2021,2021,1,10.732,12.148,10.546,11.971,9381653.0,,
luna,02/08/2021,2021,2,12.018,12.479,11.152,12.332,8443192.0,,
luna,03/08/2021,2021,3,12.325,14.816,11.67,14.736,16027821.0,,
luna,04/08/2021,2021,4,14.775,15.56,13.545,14.52,13921086.0,,
luna,05/08/2021,2021,5,14.54,15.108,13.714,14.558,9707550.0,,
luna,06/08/2021,2021,6,14.554,15.275,14.149,14.489,8095431.0,,
luna,07/08/2021,2021,7,14.512,15.65,13.956,14.616,9346929.0,,
luna,08/08/2021,2021,8,14.619,14.729,13.122,13.413,6698515.0,,
luna,09/08/2021,2021,9,13.41,14.357,12.971,13.942,7165347.0,,
luna,10/08/2021,2021,10,13.936,16.902,13.733,16.708,9556408.0,,
luna,11/08/2021,2021,11,16.732,18.05,16.514,17.037,7957597.0,,
luna,12/08/2021,2021,12,16.942,17.155,15.82,16.584,6440124.0,,
luna,13/08/2021,2021,8,16.6,17.81,16.567,17.804,3512407.0,,
luna,14/08/2021,2021,8,17.809,17.831,16.864,17.378,3058045.0,,
luna,15/08/2021,2021,8,17.373,19.642,16.502,19.254,5404991.0,,
luna,16/08/2021,2021,8,19.292,23.856,19.197,21.892,13852108.0,,
luna,17/08/2021,2021,8,21.904,26.88,20.921,25.311,17362188.0,,
luna,18/08/2021,2021,8,25.208,31.799,22.56,30.715,17910920.0,,
luna,19/08/2021,2021,8,30.931,33.403,28.799,29.41,15351899.0,,
luna,20/08/2021,2021,8,29.422,31.391,28.684,30.622,8871862.0,,
luna,21/08/2021,2021,8,30.653,30.653,27.105,27.552,6558341.0,,
luna,22/08/2021,2021,8,27.531,28.808,26.353,27.978,5679644.0,,
luna,23/08/2021,2021,8,27.994,30.204,27.211,29.946,8266948.0,,
luna,24/08/2021,2021,8,29.992,34.509,29.599,29.68,18200876.0,,
luna,25/08/2021,2021,8,29.632,31.193,28.471,30.031,8720980.0,,
luna,26/08/2021,2021,8,30.035,30.119,26.07,26.91,8219222.0,,
luna,27/08/2021,2021,8,26.97,32.87,26.42,32.67,10667224.0,,
luna,28/08/2021,2021,8,32.64,35.81,30.45,35.03,10888051.0,,
luna,29/08/2021,2021,8,35.05,36.81,33.24,33.27,7886574.0,,
luna,30/08/2021,2021,8,33.27,35.94,32.08,33.39,10291924.0,,
luna,31/08/2021,2021,8,33.41,34.46,30.6,31.52,7581321.0,,
luna,01/09/2021,2021,1,31.55,32.49,30.55,31.8,6898127.0,,
luna,02/09/2021,2021,2,31.73,33.86,31.36,32.85,5672494.0,,
luna,03/09/2021,2021,3,32.79,33.82,31.14,31.73,6132064.0,,
luna,04/09/2021,2021,4,31.73,32.47,31.0,31.36,3178695.0,,
luna,05/09/2021,2021,5,31.38,35.3,31.1,34.48,6080224.0,,
luna,06/09/2021,2021,6,34.45,35.08,30.61,32.33,6985064.0,,
luna,07/09/2021,2021,7,32.37,32.58,23.02,27.77,14075312.0,,
luna,08/09/2021,2021,8,27.93,32.0,24.94,29.41,11977697.0,,
luna,09/09/2021,2021,9,29.45,31.48,28.32,30.58,8271112.0,,
luna,10/09/2021,2021,10,30.62,43.94,30.59,43.33,29498044.0,,
luna,11/09/2021,2021,11,43.22,44.47,37.54,39.25,14833776.0,,
luna,12/09/2021,2021,12,39.18,43.53,37.94,39.26,10383900.0,,
luna,13/09/2021,2021,9,39.25,39.6,33.85,37.21,10576883.0,,
luna,14/09/2021,2021,9,37.15,37.88,34.64,35.66,6284768.0,,
luna,15/09/2021,2021,9,35.78,37.59,34.92,36.77,5497517.0,,
luna,16/09/2021,2021,9,36.72,39.75,35.21,37.45,9391059.0,,
luna,17/09/2021,2021,9,37.47,39.2,34.09,34.44,6781285.0,,
luna,18/09/2021,2021,9,34.46,36.31,34.1,34.78,4565581.0,,
luna,19/09/2021,2021,9,34.77,36.41,32.09,32.94,6886099.0,,
luna,20/09/2021,2021,9,32.93,32.95,26.31,27.53,14707946.0,,
